name,id,brewer,alcohol_by_volume,style,category,country
Hefe-Weizen,828,Brauerei Schwelm,5.1999998093,South German-Style Hefeweizen,German Ale,Germany
Spezial,503,Brauereigasthof Adler,5.0999999046,NA,NA,Germany
See-Weizen Bio-Hefeweizen,514,Brauerei & Gasthof zur Krone,0.0,South German-Style Hefeweizen,German Ale,Germany
Edelweiss,573,Edelweissbrauerei Farny,0.0,South German-Style Hefeweizen,German Ale,Germany
Schwarz Bier,2347,Privat-Brauerei Schmucker Ober-Mossau KG,4.8000001907,German-Style Schwarzbier,German Lager,Germany
Korbinian,2717,Bayerische Staatsbrauerei Weihenstephan,7.4000000954,Traditional German-Style Bock,German Lager,Germany
Original,2756,Dortmunder Actien Brauerei  DAB,4.8000001907,NA,NA,Germany
Hell,433,Bamberger Mahr's-Bru,4.9000000954,NA,NA,Germany
MÃ¶nchshof KellerbrÃ¤u,456,Kulmbacher Brauerei AG,0.0,NA,NA,Germany
WeiÃŸe,504,Schussenrieder Erlebnisbrauerei,0.0,South German-Style Hefeweizen,German Ale,Germany
Kellerpils,515,Brauerei & Gasthof zur Krone,0.0,NA,NA,Germany
Festbier,519,Simmerberg Brusttt und Taferne,0.0,German-Style Oktoberfest,German Lager,Germany
Weizen,521,Simmerberg Brusttt und Taferne,0.0,South German-Style Hefeweizen,German Ale,Germany
Dunkle Weisse,568,Brauerei Hrle,5.3000001907,NA,NA,Germany
WalderBrÃ¤u Export,569,Knigsegger WalderBru,0.0,NA,NA,Germany
Kellerpils,579,Gasthaus-Brauerei Max & Moritz,0.0,NA,NA,Germany
Asam-Bock,911,Klosterbrauerei Weltenburg,6.9000000954,Traditional German-Style Bock,German Lager,Germany
Neuschwansteiner Bavarian Lager,914,Hirschbru Privatbrauerei Hss,0.0,NA,NA,Germany
Weisse,3022,Hacker-Pschorr Bru,0.0,South German-Style Hefeweizen,German Ale,Germany
Alt,3062,Hannen Brauerei,0.0,American-Style Brown Ale,North American Ale,Germany
Rauchbier Lager,464,Brauerei Spezial,4.5999999046,NA,NA,Germany
Aecht Schlenkerla Rauchbier MÃ¤rzen,471,Heller Bru Trum,0.0,NA,NA,Germany
Pilsener,497,Flensburger Brauerei,4.8000001907,NA,NA,Germany
Pils,502,Brauereigasthof Adler,5.0,NA,NA,Germany
Blonde,509,Barfer - das kleine Brauhaus,0.0,NA,NA,Germany
Spezial,511,Alpirsbacher Klosterbru,5.1999998093,NA,NA,Germany
Hefe-Weizen,570,Brauerei Leibinger,5.1999998093,South German-Style Hefeweizen,German Ale,Germany
Edel-Spezial,571,Brauerei Leibinger,5.1999998093,NA,NA,Germany
Sanwald Dunkelweizen,580,Dinkelacker-Schwaben Bru,0.0,NA,NA,Germany
Winter-Traum,835,Klosterbrauerei Weltenburg,5.4000000954,German-Style Oktoberfest,German Lager,Germany
Cambonator Doppelbock,929,Allguer Brauhaus AG Kempten,7.1999998093,Traditional German-Style Bock,German Lager,Germany
Trompe La Mort,950,Engel Brauerei Schwbisch Gmnd Lang,7.4000000954,Traditional German-Style Bock,German Lager,Germany
Hopfen Weisse,5377,Private Weissbierbrauerei G. Schneider & Sohn GmbH,8.1999998093,South German-Style Hefeweizen,German Ale,Germany
ReichelbrÃ¤u Eisbock,1396,Kulmbacher Brauerei AG,0.0,Traditional German-Style Bock,German Lager,Germany
Maibock,1504,KÃ¶stritzer Schwarzbierbrauerei,0.0,Traditional German-Style Bock,German Lager,Germany
Malteser Weissbier,1513,Stuttgarter Hofbru,5.0,South German-Style Hefeweizen,German Ale,Germany
Doppelbock Dunkel,1517,Andechser Klosterbrauerei,7.0,Traditional German-Style Bock,German Lager,Germany
Luxus Pils,1570,Htt-Brauerei Bettenhuser,4.9000000954,NA,NA,Germany
Keller-Bier,436,St. GeorgenBru Modschiedler KG,0.0,NA,NA,Germany
Aecht Schlenkerla Rauchbier Weizen,472,Heller Bru Trum,0.0,American-Style Lager,North American Lager,Germany
Edel-Pils,499,Brauerei Leibinger,4.8000001907,NA,NA,Germany
Zwickelbier,501,Brauereigasthof Adler,0.0,NA,NA,Germany
Original NÂº 1 NaturtrÃ¼b,507,Schussenrieder Erlebnisbrauerei,0.0,NA,NA,Germany
