name,id,brewer,alcohol_by_volume,style,category,country
Vichtenaar,905,Brouwerij Verhaeghe,5.0999999046,NA,NA,Belgium
Abbaye de Saint-Martin CuvÃ©e de Noel,5665,Brasserie de Brunehaut,8.5,NA,NA,Belgium
Vigneronne,5769,Brasserie-Brouwerij Cantillon,5.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Jupiler,4679,InBev,5.1999998093,German-Style Pilsener,German Lager,Belgium
St. Bernardus Witbier,4700,Brouwerij St. Bernardus,5.5,Belgian-Style White,Belgian and French Ale,Belgium
Brugse Zot,4713,De Halve Maan,6.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Tongerlo Dubbel Bruin,4715,Tongerlo,6.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Malheur 12,1705,Brouwerij De Landtsheer,12.0,NA,NA,Belgium
BiÃ¨re du Lion,1801,Brasserie de Vervifontaine,0.0,NA,NA,Belgium
BiÃ¨re de Miel,1895,Brasserie Dupont,0.0,NA,NA,Belgium
PÃªche / Pecheresse,2327,Brouwerij Lindemans,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Mariage Parfait 1995,2328,Brouwerij Boon,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Gueuze CuvÃ©e RenÃ©,2330,Brouwerij Lindemans,5.0,NA,NA,Belgium
La Quintine AmbrÃ©e / Amber,2331,Brasserie Ellezelloise,0.0,NA,NA,Belgium
Abbaye de Saint-Martin Triple,5661,Brasserie de Brunehaut,9.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Brasserie De Brunehaut Bio BiÃ¨re Blonde (Organic),5663,Brasserie de Brunehaut,6.5,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Brasserie de Brunehaut Bio BiÃ¨re AmbrÃ©e (Organic),5664,Brasserie de Brunehaut,6.5,American-Style Amber/Red Ale,North American Ale,Belgium
RosÃ© de Gambrinus,1346,Brasserie-Brouwerij Cantillon,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Westmalle Trappist Dubbel,4168,Brouwerij Abdij der Trappisten van Westmalle,7.0,NA,NA,Belgium
Duvel,4326,Duvel Moortgat,8.5,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Monk's Cafe,4517,Brouwerij Van Steenberge,5.5,NA,NA,Belgium
Tongerlo Christmas,4718,Tongerlo,6.5,Other Belgian-Style Ales,Belgian and French Ale,Belgium
St. Louis Gueuze,3127,Brouwerij Van Honsebrouck,4.5,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Pertotale Faro,3128,Brouwerij Boon,0.0,NA,NA,Belgium
Scotch,3375,Brasserie de Silly,8.0,American-Style Pale Ale,North American Ale,Belgium
Chimay DorÃ©e,4702,Chimay (Abbaye Notre Dame de Scourmont),4.8000001907,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Daas Organic Witte,5044,Daas,5.0,Belgian-Style White,Belgian and French Ale,Belgium
Timmermans Kriek,5420,Timmermans,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Noblesse,4822,de dochter van de korenaar,6.0,Golden or Blonde Ale,North American Ale,Belgium
Petrus Aged Pale,2018,Brouwerij Bavik - De Brabandere,7.3000001907,NA,NA,Belgium
Brune (Brown),4232,Abbaye de Leffe,6.8000001907,NA,NA,Belgium
Maredsous 10 Tripple,4329,Brouwerij Duvel Moortgat,10.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Maredsous 10 Tripple,4329,Brouwerij Duvel Moortgat,10.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
La Quintine Blonde,2332,Brasserie Ellezelloise,8.0,NA,NA,Belgium
Triple Karmeliet,2352,Brouwerij Bosteels,8.0,Belgian-Style Tripel,Belgian and French Ale,Belgium
Double Enghien Blonde Ale,2686,Brasserie de Silly,7.5,NA,NA,Belgium
Trappist Bruin Bier / BiÃ¨re Brune,852,Brouwerij De Achelse Kluis,0.0,NA,NA,Belgium
Andelot Mystique,873,De Proef Brouwerij,8.5,NA,NA,Belgium
St. Paul Special,3014,Brouwerij Sterkens,0.0,NA,NA,Belgium
Brigand,2563,Brouwerij Van Honsebrouck,9.0,NA,NA,Belgium
Zinnebir Xmas,48,Brasserie de la Senne,6.5999999046,NA,NA,Belgium
Petrus Speciale,79,Brouwerij Bavik - De Brabandere,5.5,American-Style Pale Ale,North American Ale,Belgium
Grand Cru,210,Brasserie De L'Abbaye Des Rocs,9.5,NA,NA,Belgium
Blanche des Moines,348,Brasserie du Bocq,4.5,NA,NA,Belgium
Ondineke Oilsjtersen Tripel,460,Kleinbrouwerij de Glazen Toren,8.5,NA,NA,Belgium
Jan de Lichte,462,Kleinbrouwerij de Glazen Toren,7.0,NA,NA,Belgium
Gueuze Bio / Organic Gueuze,652,Brasserie-Brouwerij Cantillon,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Achel Bruin 5Â°,4704,Brouwerij der Sint-Benedictusabdij de Achelse Kluis,5.0,Dark American-Belgo-Style Ale,North American Ale,Belgium
Head Trip,5434,Brouwerij Van Steenberge,10.5,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Original White Ale,3864,Brouwerij van Hoegaarden,5.0,NA,NA,Belgium
Leffe Blonde,4253,Abbaye de Leffe,6.5999999046,Golden or Blonde Ale,North American Ale,Belgium
Bornem Double,2746,Brouwerij Van Steenberge,8.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
St. Paul Double,2923,Brouwerij Sterkens,0.0,NA,NA,Belgium
Chapeau Fraises Lambic,2924,Brewery De Troch,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Slaapmutske Triple Nightcap,156,De Proef Brouwerij,8.1000003815,NA,NA,Belgium
Blonde,825,Brasserie De L'Abbaye Des Rocs,7.5,NA,NA,Belgium
Brune / Brown,893,Brasserie de l'Abbaye Val-Dieu,8.0,NA,NA,Belgium
Affligem Dubbel,3566,Affligem Brouwerij,6.8000001907,Belgian-Style Dubbel,Belgian and French Ale,Belgium
10,3910,Abbaye de Maredsous,10.0,Belgian-Style Tripel,Belgian and French Ale,Belgium
8,3911,Abbaye de Maredsous,8.0,Belgian-Style Dubbel,Belgian and French Ale,Belgium
Timmermans  Faro,5414,Timmermans,0.0,NA,NA,Belgium
