name,id,brewer,alcohol_by_volume,style,category,country
Nut Brown Ale,1719,Redhook Ale Brewery,0.0,American-Style Brown Ale,North American Ale,United States
Beer,1728,Cugino Brewing Company,0.0,American-Style Lager,North American Lager,United States
Hefe Weiss,1731,Cold Spring Brewing,0.0,American-Style Lager,North American Lager,United States
Steam Engine Common,1735,Titletown Brewing,0.0,NA,NA,United States
Dark Lager,1770,Victory Brewing,0.0,NA,NA,United States
IPA,1793,AleSmith Brewing,7.25,American-Style India Pale Ale,North American Ale,United States
Boss Hog Double IPA,1800,Lancaster Brewing Co.,10.100000381,Imperial or Double India Pale Ale,North American Ale,United States
Harvest Ale,1845,Gaslight Brewery,5.5999999046,German-Style Oktoberfest,German Lager,United States
Weissbier,1879,Moosejaw Pizza & Dells Brewing Company,5.0,South German-Style Hefeweizen,German Ale,United States
Oktoberfest,1894,Cedar Brewing,0.0,German-Style Oktoberfest,German Lager,United States
Saint Peter Pale Ale,1911,Great Waters Brewing Company,0.0,American-Style Pale Ale,North American Ale,United States
Golden Honey Wheat,1922,O'Hara's Brewpub and Restaurant,0.0,American-Style Lager,North American Lager,United States
Gold Crown Lager,1931,Sherlock's Home,0.0,NA,NA,United States
Fenway American Pale Ale,1944,Boston Beer Works,0.0,American-Style Pale Ale,North American Ale,United States
Chocolate Stout,1953,HC Berger Brewing,0.0,American-Style Stout,North American Ale,United States
Laughing Ass,1971,Bricktown Brewery,0.0,American-Style Lager,North American Lager,United States
Hawk Rye,1974,Fitzpatrick's Brewing,0.0,American-Style Lager,North American Lager,United States
Brown Fox Ale,1994,Two Brothers Brewing,0.0,American-Style Pale Ale,North American Ale,United States
Stone of Scone Scotch Ale,1996,Great Dane Pub and Brewing #1,0.0,NA,NA,United States
Steelhead Extra Stout,2009,Mad River Brewing,0.0,American-Style Stout,North American Ale,United States
4 Reverends Imperial Stout,2029,Piece,0.0,American-Style Stout,North American Ale,United States
Fox Tail Amber Ale,2043,Fratellos Restaurant and Brewery,0.0,American-Style Amber/Red Ale,North American Ale,United States
Farmhouse Saison,992,McKenzie Brew House,6.1999998093,NA,NA,United States
French Country Spring Beer,994,McKenzie Brew House,6.5,NA,NA,United States
Irish Red Ale,1005,Iron Hill Brewery - Wilmingon,0.0,NA,NA,United States
1100 Wheat Wine,1048,"Fitger's Brewhouse, Brewery and Grill",11.5,NA,NA,United States
Eastern Sierra Lager,1078,Indian Wells Brewing,0.0,NA,NA,United States
Dos Rios Vienna Lager,1083,Glenwood Canyon Brewing Company,0.0,American-Style Lager,North American Lager,United States
Rye On,1084,Chama River Brewing,4.8000001907,American-Style Lager,North American Lager,United States
Jubilee Ale,1088,Island Brewing Company,0.0,Old Ale,British Ale,United States
Sled Dog Doppelbock,1094,Wagner Valley Brewing,0.0,Traditional German-Style Bock,German Lager,United States
Hoppy Hour IPA,1103,Mash House Restaurant and Brewery,0.0,American-Style India Pale Ale,North American Ale,United States
Pallavicini Pilsner,1105,Pug Ryan's Steakhouse and Brewery,0.0,NA,NA,United States
IPA,1109,Schooner's Grille & Brewery,0.0,American-Style India Pale Ale,North American Ale,United States
K̦lsch,1120,Cleveland ChopHouse and Brewery,0.0,NA,NA,United States
Honey Wheat,1141,Denver ChopHouse and Brewery,4.4600000381,NA,NA,United States
Mortality Stout,1147,ReaperAle,7.5,American-Style Stout,North American Ale,United States
Purple Nightie,1161,Rock Bottom Restaurant & Brewery - Denver,6.1999998093,NA,NA,United States
Wild Brunette,1167,Barley John's Brewpub,7.5,NA,NA,United States
Masala Mama IPA,1171,Minneapolis Town Hall Brewery,5.9000000954,American-Style India Pale Ale,North American Ale,United States
Honey Brown,1190,O'Gara's Bar & Grill,0.0,American-Style Lager,North American Lager,United States
Premium Light Lager,1213,Gordon Biersch Brewing,4.5,American-Style Lager,North American Lager,United States
Belgian Double,1216,On Tap Bistro & Brewery,7.0,NA,NA,United States
Hefeweizen,1230,Taylor's Restaurant and Brewery,7.5,South German-Style Weizenbock,German Ale,United States
Stone Pale Ale,1258,Stone Brewing Co.,5.4000000954,American-Style Pale Ale,North American Ale,United States
Amber Ale,1262,San Marcos Brewery & Grill,0.0,American-Style Amber/Red Ale,North American Ale,United States
Spring Bock,1326,Stevens Point Brewery,0.0,Traditional German-Style Bock,German Lager,United States
Wooden Ships ESB,1337,Great Dane Pub and Brewing #1,0.0,NA,NA,United States
Old Scratch Barleywine 2002,1339,Great Dane Pub and Brewing #1,0.0,NA,NA,United States
Hop Rod Rye,1425,Bear Republic Brewery,8.0,Imperial or Double India Pale Ale,North American Ale,United States
Milkhouse Stout,1435,Slab City Brewing,0.0,American-Style Stout,North American Ale,United States
Scorpion Pale Ale,1439,Moab Brewery,0.0,American-Style Pale Ale,North American Ale,United States
Amber Ale,1445,Thunderhead Brewery,0.0,American-Style Amber/Red Ale,North American Ale,United States
Cat Tail Pale Ale,1455,Backwater Brewing,0.0,American-Style Pale Ale,North American Ale,United States
Stein Bock,1458,Stone City Brewing,0.0,Traditional German-Style Bock,German Lager,United States
Old Roundout Pale Ale,1471,Mickey Finn's Brewery,0.0,American-Style Pale Ale,North American Ale,United States
Blackburn Doppelbock,1481,Founders Hill Brewing,7.9000000954,Traditional German-Style Bock,German Lager,United States
Hopfenkopf,1482,Twin Ports Brewing,0.0,American-Style Pale Ale,North American Ale,United States
Hemp Ale,1486,America's Brewing,0.0,NA,NA,United States
Coffee Ale,1502,Great Dane Pub and Brewing #2,0.0,NA,NA,United States
Maifest,1571,Millstream Brewing,0.0,German-Style Oktoberfest,German Lager,United States
Weiss Beer,1593,Crescent City Brewhouse,0.0,South German-Style Hefeweizen,German Ale,United States
Blonde,1716,Nicolet Brewing,3.0,NA,NA,United States
Packs A Punch Porter,1747,Krogh's Restaurant and Brewpub,0.0,Porter,Irish Ale,United States
Old Krogh Oatmeal Stout,1748,Krogh's Restaurant and Brewpub,0.0,American-Style Stout,North American Ale,United States
Three Sisters Golden Wheat,1752,Krogh's Restaurant and Brewpub,0.0,American-Style Lager,North American Lager,United States
Gust-N-Gale Porter,1755,Pizzeria Uno Chicago Grill & Brewery,0.0,Porter,Irish Ale,United States
Full Moon Barley Wine Ale,1759,Heartland Brewery Union Square,0.0,NA,NA,United States
Indiana Pale Ale,1761,Heartland Brewery Union Square,0.0,American-Style Pale Ale,North American Ale,United States
Hard Times Lager,1771,Victory Brewing,0.0,NA,NA,United States
Helles Lager,1776,Triumph Brewing of Princeton,0.0,NA,NA,United States
Honey Wheat,1778,Triumph Brewing of Princeton,0.0,American-Style Lager,North American Lager,United States
Black Earth Porter,1816,Great Dane Pub and Brewing #2,0.0,Porter,Irish Ale,United States
Stone of Scone Scotch Ale,1819,Great Dane Pub and Brewing #2,0.0,Scotch Ale,British Ale,United States
Cappa Cappa Crusher,1847,JJ Bitting Brewing,4.5999999046,NA,NA,United States
Yorkshire Stout,1853,Trap Rock Restaurant and Brewery,4.5,American-Style Stout,North American Ale,United States
Ghost Pony Helles Lager,1857,Trap Rock Restaurant and Brewery,5.5999999046,NA,NA,United States
India Pale Ale,1864,Hereford & Hops Steakhouse and Brewpub #3,5.1999998093,American-Style Pale Ale,North American Ale,United States
Wheat,1871,Keg Microbrewery & Restaurant,0.0,American-Style Lager,North American Lager,United States
Mullin Brown,1890,Upper Mississippi Brewing,4.8000001907,American-Style Brown Ale,North American Ale,United States
St. Paul Pilsner,1913,Rock Bottom Restaurant & Brewery - Minneapolis,0.0,NA,NA,United States
Eric the Red,1917,Rock Bottom Restaurant & Brewery - Minneapolis,0.0,American-Style Amber/Red Ale,North American Ale,United States
Quarry Rock Red,1921,O'Hara's Brewpub and Restaurant,0.0,American-Style Amber/Red Ale,North American Ale,United States
Palace Porter,1929,Sherlock's Home,0.0,Porter,Irish Ale,United States
Red Rooster Pale Ale,1950,Copper Eagle Brewing,0.0,American-Style Pale Ale,North American Ale,United States
