duration,start_date,end_date,start_station_number,start_station,end_station_number,end_station,bike_number,member_type
899,2018-11-20 00:18:53,2018-11-20 00:33:52,31234,20th & O St NW / Dupont South,31627,3rd & M St NE,W23936,Casual
674,2018-11-11 14:43:39,2018-11-11 14:54:53,31266,11th & M St NW,31637,North Capitol St & G Pl NE,W20022,Member
1277,2018-11-16 15:39:56,2018-11-16 16:01:13,31650,1st & M St SE,31603,1st & M St NE,W23867,Member
376,2018-11-10 14:55:11,2018-11-10 15:01:28,31113,Columbia Rd & Belmont St NW,31201,15th & P St NW,W22617,Member
333,2018-12-03 20:25:20,2018-12-03 20:30:54,31245,7th & R St NW / Shaw Library,31503,Florida Ave & R St NW,W23156,Member
1454,2018-11-07 05:49:05,2018-11-07 06:13:20,31506,1st & Rhode Island Ave NW,31258,Lincoln Memorial,W20752,Member
412,2018-11-07 19:19:52,2018-11-07 19:26:44,31103,16th & Harvard St NW,31207,Georgia Ave and Fairmont St NW,W22788,Member
613,2018-12-03 18:55:48,2018-12-03 19:06:02,31201,15th & P St NW,31503,Florida Ave & R St NW,W22543,Member
270,2018-11-09 08:44:12,2018-11-09 08:48:42,31231,14th & D St NW / Ronald Reagan Building,31231,14th & D St NW / Ronald Reagan Building,70151,Member
321,2018-11-21 18:57:39,2018-11-21 19:03:01,31651,11th & Park Rd NW,31401,14th St & Spring Rd NW,65013,Member
294,2018-11-06 15:16:56,2018-11-06 15:21:50,31645,6th & K St NE,31627,3rd & M St NE,W23287,Member
395,2018-11-18 16:27:47,2018-11-18 16:34:23,31622,13th & D St NE,31618,4th & East Capitol St NE,W23510,Member
835,2018-11-17 11:12:05,2018-11-17 11:26:01,31602,Park Rd & Holmead Pl NW,31501,12th & Newton St NE,51045,Member
760,2018-11-07 15:03:48,2018-11-07 15:16:29,31222,New York Ave & 15th St NW,31256,10th & E St NW,W23362,Casual
2104,2018-11-02 09:21:59,2018-11-02 09:57:03,31213,17th & K St NW,31641,2nd St & Massachusetts Ave NE,W23483,Member
657,2018-11-27 08:35:34,2018-11-27 08:46:31,31266,11th & M St NW,31212,21st & M St NW,W00960,Member
713,2018-11-13 17:17:22,2018-11-13 17:29:16,31625,3rd & G St SE,31623,Columbus Circle / Union Station,W22919,Member
3219,2018-11-04 15:55:09,2018-11-04 16:48:49,31228,8th & H St NW,31228,8th & H St NW,W20366,Casual
2525,2018-11-24 00:31:31,2018-11-24 01:13:37,31247,Jefferson Dr & 14th St SW,31247,Jefferson Dr & 14th St SW,W21025,Casual
442,2018-11-16 18:21:42,2018-11-16 18:29:04,31128,23rd & M St NW,31225,C & O Canal & Wisconsin Ave NW,W20072,Member
1360,2018-11-08 17:34:50,2018-11-08 17:57:30,31265,5th St & Massachusetts Ave NW,31113,Columbia Rd & Belmont St NW,W23630,Member
1348,2018-11-01 08:29:20,2018-11-01 08:51:49,31102,11th & Kenyon St NW,31242,18th St & Pennsylvania Ave NW,W21173,Member
347,2018-12-03 08:20:44,2018-12-03 08:26:31,31614,11th & H St NE,31623,Columbus Circle / Union Station,W23447,Member
640,2018-11-20 09:55:55,2018-11-20 10:06:36,31266,11th & M St NW,31250,20th & L St NW,W23535,Casual
910,2018-11-26 07:40:40,2018-11-26 07:55:50,31623,Columbus Circle / Union Station,31321,15th St & Constitution Ave NW,W22113,Member
5481,2018-11-11 11:50:30,2018-11-11 13:21:51,31111,10th & U St NW,31111,10th & U St NW,W01350,Casual
741,2018-11-01 16:09:10,2018-11-01 16:21:32,31637,North Capitol St & G Pl NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W21585,Member
325,2018-11-01 18:13:06,2018-11-01 18:18:31,31091,S Joyce & 16th St S,31095,Army Navy Dr & S Nash St,70015,Member
386,2018-11-01 19:57:16,2018-11-01 20:03:43,31232,8th & F St NW / National Portrait Gallery,31244,4th & E St SW,W21208,Member
295,2018-12-03 09:36:35,2018-12-03 09:41:30,31603,1st & M St NE,31508,Gallaudet / 8th St & Florida Ave NE,W00155,Casual
1086,2018-11-10 11:51:41,2018-11-10 12:09:47,31258,Lincoln Memorial,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,51045,Member
619,2018-12-01 10:36:23,2018-12-01 10:46:42,31624,North Capitol St & F St NW,31203,14th & Rhode Island Ave NW,E00043,Member
148,2018-11-13 20:34:17,2018-11-13 20:36:46,31229,New Hampshire Ave & T St NW,31278,18th & R St NW,W23311,Member
6317,2018-11-16 12:42:14,2018-11-16 14:27:31,31005,Pentagon City Metro / 12th & S Hayes St,31006,S Joyce & Army Navy Dr,W22300,Casual
231,2018-11-14 22:31:16,2018-11-14 22:35:07,31286,11th & O St NW,31245,7th & R St NW / Shaw Library,W20988,Member
164,2018-11-01 18:56:57,2018-11-01 18:59:41,31229,New Hampshire Ave & T St NW,31278,18th & R St NW,W20576,Member
1113,2018-11-08 08:35:57,2018-11-08 08:54:30,31904,East Falls Church Metro/Sycamore St & 19th St N,31037,Ballston Metro / N Stuart & 9th St N,W20943,Member
2370,2018-11-04 16:39:59,2018-11-04 17:19:30,31232,8th & F St NW / National Portrait Gallery,31271,Constitution Ave & 2nd St NW/DOL,W00021,Casual
548,2018-12-02 10:15:29,2018-12-02 10:24:38,31281,8th & O St NW,31229,New Hampshire Ave & T St NW,W21242,Member
529,2018-11-01 11:15:48,2018-11-01 11:24:38,31114,18th St & Wyoming Ave NW,31224,19th & L St NW,W01395,Member
292,2018-11-10 21:21:40,2018-11-10 21:26:32,31641,2nd St & Massachusetts Ave NE,31615,6th & H St NE,W22021,Member
1145,2018-11-08 16:51:09,2018-11-08 17:10:14,31246,M St & Pennsylvania Ave NW,31031,15th & N Scott St,W22637,Member
591,2018-11-29 13:49:01,2018-11-29 13:58:53,31229,New Hampshire Ave & T St NW,31222,New York Ave & 15th St NW,W20257,Member
478,2018-11-18 14:51:46,2018-11-18 14:59:44,31111,10th & U St NW,31124,14th & Irving St NW,W23366,Member
193,2018-11-11 12:37:46,2018-11-11 12:41:00,31640,Maryland Ave & E St NE,31632,15th & F St NE,W20043,Member
232,2018-11-08 11:24:53,2018-11-08 11:28:46,31228,8th & H St NW,31263,10th & K St NW,W23677,Member
5402,2018-11-04 16:35:35,2018-11-04 18:05:37,31321,15th St & Constitution Ave NW,31249,Jefferson Memorial,W00345,Casual
824,2018-11-07 09:01:28,2018-11-07 09:15:13,31623,Columbus Circle / Union Station,31625,3rd & G St SE,W00663,Member
633,2018-11-19 06:53:40,2018-11-19 07:04:14,31280,11th & S St NW,31227,13th St & New York Ave NW,W00561,Member
278,2018-11-06 13:00:41,2018-11-06 13:05:20,31216,14th St & New York Ave NW,31241,Thomas Circle,W23142,Member
393,2018-11-02 14:49:48,2018-11-02 14:56:22,31104,Adams Mill & Columbia Rd NW,31602,Park Rd & Holmead Pl NW,W23367,Member
360,2018-11-06 06:34:11,2018-11-06 06:40:12,31113,Columbia Rd & Belmont St NW,31128,23rd & M St NW,W22900,Member
193,2018-11-01 17:37:06,2018-11-01 17:40:20,31647,7th St & Massachusetts Ave NE,31623,Columbus Circle / Union Station,W23203,Member
1822,2018-11-18 17:05:33,2018-11-18 17:35:56,31243,4th & C St SW,31275,New Hampshire Ave & 24th St NW,W22024,Casual
154,2018-11-01 13:44:00,2018-11-01 13:46:35,31639,2nd & G St NE,31623,Columbus Circle / Union Station,W00385,Casual
910,2018-11-18 15:17:30,2018-11-18 15:32:41,31651,11th & Park Rd NW,31413,3rd & Underwood St NW,W22910,Member
334,2018-11-07 17:44:53,2018-11-07 17:50:27,31081,Duke St & John Carlyle St,31914,Lee Center,W01312,Member
3904,2018-11-16 13:19:20,2018-11-16 14:24:24,31258,Lincoln Memorial,31247,Jefferson Dr & 14th St SW,W22065,Member
514,2018-12-01 20:12:49,2018-12-01 20:21:23,31603,1st & M St NE,31503,Florida Ave & R St NW,W23743,Member
494,2018-11-25 14:05:06,2018-11-25 14:13:20,31220,US Dept of State / Virginia Ave & 21st St NW,31293,31st & Water St NW,W00693,Member
336,2018-11-06 16:37:29,2018-11-06 16:43:06,31300,Van Ness Metro / UDC,31305,Connecticut Ave & Newark St NW / Cleveland Park,W23433,Member
215,2018-11-09 08:40:39,2018-11-09 08:44:15,31401,14th St & Spring Rd NW,31400,Georgia & New Hampshire Ave NW,W00465,Member
589,2018-11-03 20:55:18,2018-11-03 21:05:07,31296,Columbia & Ontario Rd NW,31115,Columbia Rd & Georgia Ave NW,W00565,Member
451,2018-11-16 08:41:57,2018-11-16 08:49:29,31069,Pershing & N George Mason Dr,31024,Virginia Square Metro / N Monroe St & 9th St N,W23150,Member
751,2018-11-16 05:24:31,2018-11-16 05:37:02,31631,8th & F St NE,31625,3rd & G St SE,W23500,Member
483,2018-12-02 07:18:35,2018-12-02 07:26:39,31286,11th & O St NW,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W01013,Member
804,2018-11-15 22:23:08,2018-11-15 22:36:33,31618,4th & East Capitol St NE,31108,4th & M St SW,W00885,Member
789,2018-11-03 12:37:45,2018-11-03 12:50:54,31297,Virginia Ave & 25th St NW,31203,14th & Rhode Island Ave NW,W22983,Member
816,2018-11-27 20:48:21,2018-11-27 21:01:57,31229,New Hampshire Ave & T St NW,31229,New Hampshire Ave & T St NW,W22171,Member
522,2018-11-26 13:35:09,2018-11-26 13:43:51,31624,North Capitol St & F St NW,31623,Columbus Circle / Union Station,W23175,Member
1282,2018-11-18 13:20:57,2018-11-18 13:42:20,31610,Eastern Market / 7th & North Carolina Ave SE,31100,19th St & Pennsylvania Ave NW,W20391,Member
285,2018-11-12 09:45:40,2018-11-12 09:50:26,31260,23rd & E St NW ,31242,18th St & Pennsylvania Ave NW,W23597,Member
1735,2018-11-29 17:13:12,2018-11-29 17:42:07,31247,Jefferson Dr & 14th St SW,31125,15th & W St NW,W22229,Casual
265,2018-11-15 18:25:52,2018-11-15 18:30:18,31201,15th & P St NW,31214,17th & Corcoran St NW,W01181,Member
361,2018-12-01 08:32:28,2018-12-01 08:38:30,31636,New Jersey Ave & N St NW/Dunbar HS,31638,1st & H St NW,W21360,Member
771,2018-11-19 07:34:33,2018-11-19 07:47:24,31101,14th & V St NW,31638,1st & H St NW,E00134,Member
702,2018-12-03 10:27:57,2018-12-03 10:39:40,31124,14th & Irving St NW,31221,18th & M St NW,W21670,Member
330,2018-11-21 19:45:38,2018-11-21 19:51:09,31218,L'Enfant Plaza / 7th & C St SW,31646,Maine Ave & 9th St SW,W21846,Member
369,2018-11-22 13:14:34,2018-11-22 13:20:44,31234,20th & O St NW / Dupont South,31242,18th St & Pennsylvania Ave NW,W22912,Member
413,2018-11-03 12:34:04,2018-11-03 12:40:57,31264,6th St & Indiana Ave NW,31272,Washington & Independence Ave SW/HHS,W23713,Member
714,2018-11-01 07:52:58,2018-11-01 08:04:53,31117,15th & Euclid St  NW,31519,1st & O St NW,W00950,Casual
398,2018-11-28 08:32:21,2018-11-28 08:39:00,31101,14th & V St NW,31278,18th & R St NW,W21074,Member
647,2018-12-02 15:18:36,2018-12-02 15:29:24,31638,1st & H St NW,31281,8th & O St NW,W23878,Member
416,2018-12-03 16:56:47,2018-12-03 17:03:44,31205,21st & I St NW,31213,17th & K St NW,W22452,Member
363,2018-11-28 06:07:59,2018-11-28 06:14:02,31229,New Hampshire Ave & T St NW,31212,21st & M St NW,W23395,Member
270,2018-11-03 08:44:21,2018-11-03 08:48:51,31281,8th & O St NW,31203,14th & Rhode Island Ave NW,W22642,Member
228,2018-11-09 08:44:52,2018-11-09 08:48:41,31026,Washington Blvd & 10th St N,31050,Barton St & 10th St N,W21609,Member
355,2018-11-07 07:18:27,2018-11-07 07:24:22,31280,11th & S St NW,31230,Metro Center / 12th & G St NW,W23249,Member
639,2018-11-11 17:41:28,2018-11-11 17:52:07,31124,14th & Irving St NW,31286,11th & O St NW,W20484,Member
658,2018-11-14 14:37:07,2018-11-14 14:48:05,31267,17th St & Massachusetts Ave NW,31620,5th & F St NW,W01362,Member
542,2018-11-28 18:35:07,2018-11-28 18:44:10,31602,Park Rd & Holmead Pl NW,31405,Georgia Ave & Emerson St NW,W23786,Member
6917,2018-11-04 14:50:22,2018-11-04 16:45:39,31230,Metro Center / 12th & G St NW,31290,17th St & Independence Ave SW,W21912,Casual
616,2018-12-03 08:47:44,2018-12-03 08:58:00,31624,North Capitol St & F St NW,31283,14th & L St NW,W21573,Member
487,2018-11-16 09:35:08,2018-11-16 09:43:16,31312,Wisconsin Ave & O St NW,31205,21st & I St NW,W20562,Member
859,2018-11-27 09:46:37,2018-11-27 10:00:57,31267,17th St & Massachusetts Ave NW,31232,8th & F St NW / National Portrait Gallery,W20341,Member
574,2018-12-01 18:45:07,2018-12-01 18:54:41,31636,New Jersey Ave & N St NW/Dunbar HS,31638,1st & H St NW,W20309,Member
712,2018-11-08 18:17:06,2018-11-08 18:28:58,31227,13th St & New York Ave NW,31603,1st & M St NE,W00808,Member
449,2018-11-10 17:17:00,2018-11-10 17:24:30,31506,1st & Rhode Island Ave NW,31268,12th & U St NW,W21055,Member
324,2018-11-08 17:58:14,2018-11-08 18:03:38,31040,Fairfax Dr & Kenmore St,31037,Ballston Metro / N Stuart & 9th St N,W20754,Member
559,2018-11-26 16:39:02,2018-11-26 16:48:21,31635,Potomac Ave & 8th St SE,31641,2nd St & Massachusetts Ave NE,W20764,Member
1962,2018-11-18 13:29:37,2018-11-18 14:02:20,31237,25th St & Pennsylvania Ave NW,31227,13th St & New York Ave NW,W23148,Casual
1551,2018-11-17 11:55:26,2018-11-17 12:21:17,31122,16th & Irving St NW,31288,4th St & Madison Dr NW,W01450,Member
985,2018-11-25 17:18:01,2018-11-25 17:34:26,31255,24th & N St NW,31245,7th & R St NW / Shaw Library,W23386,Member
912,2018-11-01 15:39:57,2018-11-01 15:55:09,31306,39th & Calvert St NW / Stoddert,31257,22nd & I St NW / Foggy Bottom,W21167,Member
868,2018-11-25 17:17:32,2018-11-25 17:32:00,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31314,34th & Water St NW,W21143,Member
945,2018-11-01 23:09:23,2018-11-01 23:25:08,31609,Maine Ave & 7th St SW,31634,3rd & Tingey St SE,W00485,Casual
1020,2018-11-17 12:36:55,2018-11-17 12:53:55,31600,5th & K St NW,31126,11th & Girard St NW,W23806,Member
107,2018-11-01 22:12:48,2018-11-01 22:14:36,31101,14th & V St NW,31101,14th & V St NW,W22731,Member
1508,2018-11-03 18:49:42,2018-11-03 19:14:50,31128,23rd & M St NW,31232,8th & F St NW / National Portrait Gallery,W20853,Casual
415,2018-11-08 15:43:27,2018-11-08 15:50:23,31107,Lamont & Mt Pleasant NW,31121,Calvert St & Woodley Pl NW,W21896,Member
1788,2018-11-03 18:45:26,2018-11-03 19:15:15,31611,13th & H St NE,31266,11th & M St NW,E00145,Member
870,2018-11-12 13:17:49,2018-11-12 13:32:20,31128,23rd & M St NW,31305,Connecticut Ave & Newark St NW / Cleveland Park,W21222,Member
3455,2018-11-08 20:01:25,2018-11-08 20:59:00,31071,Long Bridge Park/Long Bridge Dr & 6th St S,31071,Long Bridge Park/Long Bridge Dr & 6th St S,W00973,Casual
636,2018-11-01 09:20:22,2018-11-01 09:30:59,31623,Columbus Circle / Union Station,31243,4th & C St SW,W20729,Member
2428,2018-11-01 16:57:27,2018-11-01 17:37:55,31302,Wisconsin Ave & Newark St NW,31295,Potomac & M St NW,W20768,Member
1161,2018-11-01 19:16:36,2018-11-01 19:35:58,31802,Good Hope Rd & MLK Ave SE,31648,Potomac Ave & Half St SW,W21871,Member
681,2018-11-21 16:08:35,2018-11-21 16:19:57,31260,23rd & E St NW ,31214,17th & Corcoran St NW,W01430,Member
309,2018-11-29 21:18:25,2018-11-29 21:23:35,31269,3rd St & Pennsylvania Ave SE,31644,12th St & Pennsylvania Ave SE,W23707,Member
407,2018-11-03 10:47:33,2018-11-03 10:54:20,31619,Lincoln Park / 13th & East Capitol St NE ,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W00650,Member
1832,2018-11-03 11:21:13,2018-11-03 11:51:45,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31271,Constitution Ave & 2nd St NW/DOL,W22942,Member
204,2018-12-02 12:06:05,2018-12-02 12:09:30,31245,7th & R St NW / Shaw Library,31202,14th & R St NW,W23389,Member
2591,2018-11-03 16:50:47,2018-11-03 17:33:58,31707,Benning Rd & East Capitol St NE / Benning Rd Metro,31703,Minnesota Ave Metro/DOES,W23746,Member
512,2018-11-12 16:58:10,2018-11-12 17:06:42,31277,17th & G St NW,31283,14th & L St NW,W21574,Member
806,2018-11-04 16:14:13,2018-11-04 16:27:40,31653,7th & K St NW,31517,Union Market/6th St & Neal Pl NE,W22216,Member
193,2018-11-24 23:07:54,2018-11-24 23:11:08,31615,6th & H St NE,31627,3rd & M St NE,E00129,Member
188,2018-11-21 16:01:39,2018-11-21 16:04:47,31121,Calvert St & Woodley Pl NW,31104,Adams Mill & Columbia Rd NW,W23617,Member
358,2018-11-16 08:05:31,2018-11-16 08:11:30,31264,6th St & Indiana Ave NW,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W21507,Member
1895,2018-11-19 21:49:20,2018-11-19 22:20:56,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31033,Barcroft Community Center,W23676,Member
632,2018-11-26 20:58:09,2018-11-26 21:08:41,31241,Thomas Circle,31117,15th & Euclid St  NW,W20614,Member
1433,2018-12-02 13:46:35,2018-12-02 14:10:28,31031,15th & N Scott St,31258,Lincoln Memorial,W01296,Member
305,2018-11-26 07:54:56,2018-11-26 08:00:01,31226,34th St & Wisconsin Ave NW,31236,37th & O St NW / Georgetown University,W20775,Member
640,2018-11-20 17:47:30,2018-11-20 17:58:11,31113,Columbia Rd & Belmont St NW,31126,11th & Girard St NW,W21757,Member
727,2018-11-29 12:33:48,2018-11-29 12:45:56,31128,23rd & M St NW,31106,Calvert & Biltmore St NW,W20469,Member
403,2018-11-03 19:16:01,2018-11-03 19:22:45,31308,39th & Veazey St NW,31301,Ward Circle / American University,W00174,Member
931,2018-12-04 08:07:18,2018-12-04 08:22:49,31126,11th & Girard St NW,31275,New Hampshire Ave & 24th St NW,W00349,Member
420,2018-11-03 10:43:03,2018-11-03 10:50:04,31713,Division Ave & Foote St NE,31707,Benning Rd & East Capitol St NE / Benning Rd Metro,W23746,Member
848,2018-11-17 10:58:47,2018-11-17 11:12:56,31258,Lincoln Memorial,31247,Jefferson Dr & 14th St SW,W22225,Member
533,2018-11-19 09:31:41,2018-11-19 09:40:35,31241,Thomas Circle,31205,21st & I St NW,W23590,Member
769,2018-11-29 08:45:04,2018-11-29 08:57:53,31500,4th & W St NE,31621,4th & D St NW / Judiciary Square,W23776,Member
1717,2018-11-10 09:39:38,2018-11-10 10:08:15,31607,13th & E St SE,31285,22nd & P ST NW,W23128,Member
474,2018-11-09 16:20:26,2018-11-09 16:28:20,31254,15th & K St NW,31270,8th & D St NW,W21703,Member
454,2018-11-17 13:51:05,2018-11-17 13:58:40,31616,3rd & H St NE,31505,Eckington Pl & Q St NE,W22292,Member
655,2018-11-02 12:40:34,2018-11-02 12:51:30,31250,20th & L St NW,31266,11th & M St NW,W22412,Member
366,2018-11-09 12:10:05,2018-11-09 12:16:11,31200,Massachusetts Ave & Dupont Circle NW,31114,18th St & Wyoming Ave NW,W20009,Member
1718,2018-11-03 12:13:00,2018-11-03 12:41:38,31102,11th & Kenyon St NW,31246,M St & Pennsylvania Ave NW,W00714,Casual
